timestamp,model,run,device,text_chars,rtf,latency_s,load_s,cpu_pct,cpu_peak_pct,ram_baseline_mb,ram_peak_mb,ram_spike_mb,mlx_peak_mb,mlx_load_peak_mb,swap_delta_mb,sys_avail_min_mb,text
2026-08-12 18:23:42,whisper-small-mlx,1,mlx,201,0.3503,2.5406,3.7954,39.8,78.0,247.2,263.62,16.42,1169.59,840.93,0.0,1856.31,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:23:44,whisper-small-mlx,2,mlx,201,0.3513,2.5474,3.7954,40.6,95.7,250.88,264.47,13.59,1169.59,840.93,0.0,1741.95,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:23:47,whisper-small-mlx,3,mlx,201,0.3506,2.5427,3.7954,41.9,78.1,251.38,264.73,13.36,1169.59,840.93,0.0,1659.84,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:23:59,Qwen3-ASR-0.6B-4bit,1,mlx,108,0.0649,0.4705,0.7453,43.0,78.8,1049.02,1049.09,0.08,1311.33,680.59,0.0,1479.98,"The real sentence is still transcribed correctly. Webb item, good sign that part is solid across both sizes."
2026-08-12 18:23:59,Qwen3-ASR-0.6B-4bit,2,mlx,108,0.0637,0.462,0.7453,44.0,69.8,913.67,914.23,0.56,1311.34,680.59,0.0,2025.55,"The real sentence is still transcribed correctly. Webb item, good sign that part is solid across both sizes."
2026-08-12 18:24:00,Qwen3-ASR-0.6B-4bit,3,mlx,108,0.0643,0.4661,0.7453,44.4,77.5,906.97,907.48,0.52,1311.34,680.59,0.0,1482.97,"The real sentence is still transcribed correctly. Webb item, good sign that part is solid across both sizes."
2026-08-12 18:24:12,Qwen3-ASR-1.7B-4bit,1,mlx,109,0.1492,1.0817,1.1064,28.8,90.2,250.17,251.52,1.34,2313.31,1534.7,0.0,927.3,"The real sentence is still transcribed correctly. Verb item, good sign. That part is solid across both sizes."
2026-08-12 18:24:13,Qwen3-ASR-1.7B-4bit,2,mlx,109,0.151,1.0949,1.1064,28.3,79.2,251.83,252.23,0.41,2313.91,1534.7,0.0,1723.34,"The real sentence is still transcribed correctly. Verb item, good sign. That part is solid across both sizes."
2026-08-12 18:24:14,Qwen3-ASR-1.7B-4bit,3,mlx,109,0.1496,1.0847,1.1064,31.0,110.7,251.89,254.09,2.2,2313.31,1534.7,0.0,1723.34,"The real sentence is still transcribed correctly. Verb item, good sign. That part is solid across both sizes."
2026-08-12 18:24:33,whisper-small-mlx,1,mlx,201,0.3508,2.5438,3.3414,40.6,80.6,74.47,92.34,17.88,1169.59,811.63,0.0,1840.69,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:24:36,whisper-small-mlx,2,mlx,201,0.3506,2.5426,3.3414,40.8,97.1,79.66,93.14,13.48,1169.59,811.63,0.0,1800.66,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:24:38,whisper-small-mlx,3,mlx,201,0.3497,2.5362,3.3414,40.2,81.4,80.23,93.69,13.45,1169.59,811.63,0.0,1800.66,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:24:47,whisper-small-mlx-lang-en,1,mlx,201,0.3164,2.2946,2.9532,45.3,97.2,109.09,130.97,21.88,1169.59,991.8,0.0,1878.45,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:24:49,whisper-small-mlx-lang-en,2,mlx,201,0.3141,2.2777,2.9532,43.9,81.8,117.59,131.84,14.25,1169.59,991.8,0.0,1853.0,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
2026-08-12 18:24:52,whisper-small-mlx-lang-en,3,mlx,201,0.3153,2.2862,2.9532,43.3,79.0,118.45,133.16,14.7,1169.59,991.8,0.0,1853.0,"The real sentence is still transcribed correctly. Verbatim, good sign. That part is solved across both sizes. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
